date,cases,deaths,county,state
2020-01-31,0,0,abbeville,south carolina
2020-01-31,0,0,acadia,louisiana
2020-01-31,0,0,accomack,virginia
2020-01-31,0,0,ada,idaho
2020-01-31,0,0,adair,iowa
2020-01-31,0,0,adair,kentucky
2020-01-31,0,0,adair,missouri
2020-01-31,0,0,adair,oklahoma
2020-01-31,0,0,adams,colorado
2020-01-31,0,0,adams,idaho
2020-01-31,0,0,adams,illinois
2020-01-31,0,0,adams,indiana
2020-01-31,0,0,adams,iowa
2020-01-31,0,0,adams,mississippi
2020-01-31,0,0,adams,nebraska
2020-01-31,0,0,adams,north dakota
2020-01-31,0,0,adams,ohio
2020-01-31,0,0,adams,pennsylvania
2020-01-31,0,0,adams,washington
2020-01-31,0,0,adams,wisconsin
2020-01-31,0,0,addison,vermont
2020-01-31,0,0,adjuntas,puerto rico
2020-01-31,0,0,aguada,puerto rico
2020-01-31,0,0,aguadilla,puerto rico
2020-01-31,0,0,aguas buenas,puerto rico
2020-01-31,0,0,aibonito,puerto rico
2020-01-31,0,0,aiken,south carolina
2020-01-31,0,0,aitkin,minnesota
2020-01-31,0,0,alachua,florida
2020-01-31,0,0,alamance,north carolina
2020-01-31,0,0,alameda,california
2020-01-31,0,0,alamosa,colorado
2020-01-31,0,0,albany,new york
2020-01-31,0,0,albany,wyoming
2020-01-31,0,0,albemarle,virginia
2020-01-31,0,0,alcona,michigan
2020-01-31,0,0,alcorn,mississippi
2020-01-31,0,0,aleutians east,alaska
2020-01-31,0,0,aleutians west,alaska
2020-01-31,0,0,alexander,illinois
2020-01-31,0,0,alexander,north carolina
2020-01-31,0,0,alexandria,virginia
2020-01-31,0,0,alfalfa,oklahoma
2020-01-31,0,0,alger,michigan
2020-01-31,0,0,allamakee,iowa
2020-01-31,0,0,allegan,michigan
2020-01-31,0,0,allegany,maryland
2020-01-31,0,0,allegany,new york
2020-01-31,0,0,alleghany,north carolina
2020-01-31,0,0,alleghany,virginia
2020-01-31,0,0,allegheny,pennsylvania
2020-01-31,0,0,allen,indiana
2020-01-31,0,0,allen,kansas
2020-01-31,0,0,allen,kentucky
2020-01-31,0,0,allen,louisiana
2020-01-31,0,0,allen,ohio
2020-01-31,0,0,allendale,south carolina
2020-01-31,0,0,alpena,michigan
2020-01-31,0,0,alpine,california
2020-01-31,0,0,amador,california
2020-01-31,0,0,amelia,virginia
2020-01-31,0,0,amherst,virginia
2020-01-31,0,0,amite,mississippi
2020-01-31,0,0,anasco,puerto rico
2020-01-31,0,0,anchorage,alaska
2020-01-31,0,0,anderson,kansas
2020-01-31,0,0,anderson,kentucky
2020-01-31,0,0,anderson,south carolina
2020-01-31,0,0,anderson,tennessee
2020-01-31,0,0,anderson,texas
2020-01-31,0,0,andrew,missouri
2020-01-31,0,0,andrews,texas
2020-01-31,0,0,androscoggin,maine
2020-01-31,0,0,angelina,texas
2020-01-31,0,0,anne arundel,maryland
2020-01-31,0,0,anoka,minnesota
2020-01-31,0,0,anson,north carolina
2020-01-31,0,0,antelope,nebraska
2020-01-31,0,0,antrim,michigan
2020-01-31,0,0,apache,arizona
2020-01-31,0,0,appanoose,iowa
2020-01-31,0,0,appling,georgia
2020-01-31,0,0,appomattox,virginia
2020-01-31,0,0,aransas,texas
2020-01-31,0,0,arapahoe,colorado
2020-01-31,0,0,archer,texas
2020-01-31,0,0,archuleta,colorado
2020-01-31,0,0,arecibo,puerto rico
2020-01-31,0,0,arenac,michigan
2020-01-31,0,0,arkansas,arkansas
2020-01-31,0,0,arlington,virginia
2020-01-31,0,0,armstrong,pennsylvania
2020-01-31,0,0,armstrong,texas
2020-01-31,0,0,aroostook,maine
2020-01-31,0,0,arroyo,puerto rico
2020-01-31,0,0,arthur,nebraska
2020-01-31,0,0,ascension,louisiana
2020-01-31,0,0,ashe,north carolina
2020-01-31,0,0,ashland,ohio
2020-01-31,0,0,ashland,wisconsin
2020-01-31,0,0,ashley,arkansas
2020-01-31,0,0,ashtabula,ohio
2020-01-31,0,0,asotin,washington
2020-01-31,0,0,assumption,louisiana
2020-01-31,0,0,atascosa,texas
2020-01-31,0,0,atchison,kansas
2020-01-31,0,0,atchison,missouri
2020-01-31,0,0,athens,ohio
2020-01-31,0,0,atkinson,georgia
2020-01-31,0,0,atlantic,new jersey
2020-01-31,0,0,atoka,oklahoma
2020-01-31,0,0,attala,mississippi
2020-01-31,0,0,audrain,missouri
2020-01-31,0,0,audubon,iowa
2020-01-31,0,0,auglaize,ohio
2020-01-31,0,0,augusta,virginia
2020-01-31,0,0,aurora,south dakota
2020-01-31,0,0,austin,texas
2020-01-31,0,0,autauga,alabama
2020-01-31,0,0,avery,north carolina
2020-01-31,0,0,avoyelles,louisiana
2020-01-31,0,0,baca,colorado
2020-01-31,0,0,bacon,georgia
2020-01-31,0,0,bailey,texas
2020-01-31,0,0,baker,florida
2020-01-31,0,0,baker,georgia
2020-01-31,0,0,baker,oregon
2020-01-31,0,0,baldwin,alabama
2020-01-31,0,0,baldwin,georgia
2020-01-31,0,0,ballard,kentucky
2020-01-31,0,0,baltimore,maryland
2020-01-31,0,0,baltimore city,maryland
2020-01-31,0,0,bamberg,south carolina
2020-01-31,0,0,bandera,texas
2020-01-31,0,0,banks,georgia
2020-01-31,0,0,banner,nebraska
2020-01-31,0,0,bannock,idaho
2020-01-31,0,0,baraga,michigan
2020-01-31,0,0,barber,kansas
2020-01-31,0,0,barbour,alabama
2020-01-31,0,0,barbour,west virginia
2020-01-31,0,0,barceloneta,puerto rico
2020-01-31,0,0,barnes,north dakota
2020-01-31,0,0,barnstable,massachusetts
2020-01-31,0,0,barnwell,south carolina
2020-01-31,0,0,barranquitas,puerto rico
2020-01-31,0,0,barren,kentucky
2020-01-31,0,0,barron,wisconsin
2020-01-31,0,0,barrow,georgia
2020-01-31,0,0,barry,michigan
2020-01-31,0,0,barry,missouri
2020-01-31,0,0,bartholomew,indiana
2020-01-31,0,0,barton,kansas
2020-01-31,0,0,barton,missouri
2020-01-31,0,0,bartow,georgia
2020-01-31,0,0,bastrop,texas
2020-01-31,0,0,bates,missouri
2020-01-31,0,0,bath,kentucky
2020-01-31,0,0,bath,virginia
2020-01-31,0,0,baxter,arkansas
2020-01-31,0,0,bay,florida
2020-01-31,0,0,bay,michigan
2020-01-31,0,0,bayamon,puerto rico
2020-01-31,0,0,bayfield,wisconsin
2020-01-31,0,0,baylor,texas
2020-01-31,0,0,beadle,south dakota
2020-01-31,0,0,bear lake,idaho
2020-01-31,0,0,bear river,utah
2020-01-31,0,0,beaufort,north carolina
2020-01-31,0,0,beaufort,south carolina
2020-01-31,0,0,beauregard,louisiana
2020-01-31,0,0,beaver,oklahoma
2020-01-31,0,0,beaver,pennsylvania
2020-01-31,0,0,beaver,utah
2020-01-31,0,0,beaverhead,montana
2020-01-31,0,0,becker,minnesota
2020-01-31,0,0,beckham,oklahoma
2020-01-31,0,0,bedford,pennsylvania
2020-01-31,0,0,bedford,tennessee
2020-01-31,0,0,bedford,virginia
2020-01-31,0,0,bee,texas
2020-01-31,0,0,belknap,new hampshire
2020-01-31,0,0,bell,kentucky
2020-01-31,0,0,bell,texas
2020-01-31,0,0,belmont,ohio
2020-01-31,0,0,beltrami,minnesota
2020-01-31,0,0,ben hill,georgia
2020-01-31,0,0,benewah,idaho
2020-01-31,0,0,bennett,south dakota
2020-01-31,0,0,bennington,vermont
2020-01-31,0,0,benson,north dakota
2020-01-31,0,0,bent,colorado
2020-01-31,0,0,benton,arkansas
2020-01-31,0,0,benton,indiana
2020-01-31,0,0,benton,iowa
2020-01-31,0,0,benton,minnesota
2020-01-31,0,0,benton,mississippi
2020-01-31,0,0,benton,missouri
2020-01-31,0,0,benton,oregon
2020-01-31,0,0,benton,tennessee
2020-01-31,0,0,benton,washington
2020-01-31,0,0,benzie,michigan
2020-01-31,0,0,bergen,new jersey
2020-01-31,0,0,berkeley,south carolina
2020-01-31,0,0,berkeley,west virginia
2020-01-31,0,0,berks,pennsylvania
2020-01-31,0,0,berkshire,massachusetts
2020-01-31,0,0,bernalillo,new mexico
2020-01-31,0,0,berrien,georgia
2020-01-31,0,0,berrien,michigan
2020-01-31,0,0,bertie,north carolina
2020-01-31,0,0,bethel,alaska
2020-01-31,0,0,bexar,texas
2020-01-31,0,0,bibb,alabama
2020-01-31,0,0,bibb,georgia
2020-01-31,0,0,bienville,louisiana
2020-01-31,0,0,big horn,montana
2020-01-31,0,0,big horn,wyoming
2020-01-31,0,0,big stone,minnesota
2020-01-31,0,0,billings,north dakota
2020-01-31,0,0,bingham,idaho
2020-01-31,0,0,black hawk,iowa
2020-01-31,0,0,blackford,indiana
2020-01-31,0,0,bladen,north carolina
2020-01-31,0,0,blaine,idaho
2020-01-31,0,0,blaine,montana
2020-01-31,0,0,blaine,nebraska
2020-01-31,0,0,blaine,oklahoma
2020-01-31,0,0,blair,pennsylvania
2020-01-31,0,0,blanco,texas
2020-01-31,0,0,bland,virginia
2020-01-31,0,0,bleckley,georgia
2020-01-31,0,0,bledsoe,tennessee
2020-01-31,0,0,blount,alabama
2020-01-31,0,0,blount,tennessee
2020-01-31,0,0,blue earth,minnesota
2020-01-31,0,0,boise,idaho
2020-01-31,0,0,bolivar,mississippi
2020-01-31,0,0,bollinger,missouri
2020-01-31,0,0,bon homme,south dakota
2020-01-31,0,0,bond,illinois
2020-01-31,0,0,bonner,idaho
2020-01-31,0,0,bonneville,idaho
2020-01-31,0,0,boone,arkansas
2020-01-31,0,0,boone,illinois
2020-01-31,0,0,boone,indiana
2020-01-31,0,0,boone,iowa
2020-01-31,0,0,boone,kentucky
2020-01-31,0,0,boone,missouri
2020-01-31,0,0,boone,nebraska
2020-01-31,0,0,boone,west virginia
2020-01-31,0,0,borden,texas
2020-01-31,0,0,bosque,texas
2020-01-31,0,0,bossier,louisiana
2020-01-31,0,0,botetourt,virginia
2020-01-31,0,0,bottineau,north dakota
2020-01-31,0,0,boulder,colorado
2020-01-31,0,0,boundary,idaho
2020-01-31,0,0,bourbon,kansas
2020-01-31,0,0,bourbon,kentucky
2020-01-31,0,0,bowie,texas
2020-01-31,0,0,bowman,north dakota
2020-01-31,0,0,box butte,nebraska
2020-01-31,0,0,box elder,utah
2020-01-31,0,0,boyd,kentucky
2020-01-31,0,0,boyd,nebraska
2020-01-31,0,0,boyle,kentucky
2020-01-31,0,0,bracken,kentucky
2020-01-31,0,0,bradford,florida
2020-01-31,0,0,bradford,pennsylvania
2020-01-31,0,0,bradley,arkansas
2020-01-31,0,0,bradley,tennessee
2020-01-31,0,0,branch,michigan
2020-01-31,0,0,brantley,georgia
2020-01-31,0,0,braxton,west virginia
2020-01-31,0,0,brazoria,texas
2020-01-31,0,0,brazos,texas
2020-01-31,0,0,breathitt,kentucky
2020-01-31,0,0,breckinridge,kentucky
2020-01-31,0,0,bremer,iowa
2020-01-31,0,0,brevard,florida
2020-01-31,0,0,brewster,texas
2020-01-31,0,0,briscoe,texas
2020-01-31,0,0,bristol,massachusetts
2020-01-31,0,0,bristol,rhode island
2020-01-31,0,0,bristol,virginia
2020-01-31,0,0,bristol bay,alaska
2020-01-31,0,0,bristol bay plus lake and peninsula,alaska
2020-01-31,0,0,broadwater,montana
2020-01-31,0,0,bronx,new york
2020-01-31,0,0,brooke,west virginia
2020-01-31,0,0,brookings,south dakota
2020-01-31,0,0,brooks,georgia
2020-01-31,0,0,brooks,texas
2020-01-31,0,0,broome,new york
2020-01-31,0,0,broomfield,colorado
2020-01-31,0,0,broward,florida
2020-01-31,0,0,brown,illinois
2020-01-31,0,0,brown,indiana
2020-01-31,0,0,brown,kansas
2020-01-31,0,0,brown,minnesota
2020-01-31,0,0,brown,nebraska
2020-01-31,0,0,brown,ohio
2020-01-31,0,0,brown,south dakota
2020-01-31,0,0,brown,texas
2020-01-31,0,0,brown,wisconsin
2020-01-31,0,0,brule,south dakota
2020-01-31,0,0,brunswick,north carolina
2020-01-31,0,0,brunswick,virginia
2020-01-31,0,0,bryan,georgia
2020-01-31,0,0,bryan,oklahoma
2020-01-31,0,0,buchanan,iowa
2020-01-31,0,0,buchanan,missouri
2020-01-31,0,0,buchanan,virginia
2020-01-31,0,0,buckingham,virginia
2020-01-31,0,0,bucks,pennsylvania
2020-01-31,0,0,buena vista,iowa
2020-01-31,0,0,buena vista,virginia
2020-01-31,0,0,buffalo,nebraska
2020-01-31,0,0,buffalo,south dakota
2020-01-31,0,0,buffalo,wisconsin
2020-01-31,0,0,bullitt,kentucky
2020-01-31,0,0,bulloch,georgia
2020-01-31,0,0,bullock,alabama
2020-01-31,0,0,buncombe,north carolina
2020-01-31,0,0,bureau,illinois
2020-01-31,0,0,burke,georgia
2020-01-31,0,0,burke,north carolina
2020-01-31,0,0,burke,north dakota
2020-01-31,0,0,burleigh,north dakota
2020-01-31,0,0,burleson,texas
2020-01-31,0,0,burlington,new jersey
2020-01-31,0,0,burnet,texas
2020-01-31,0,0,burnett,wisconsin
2020-01-31,0,0,burt,nebraska
2020-01-31,0,0,butler,alabama
2020-01-31,0,0,butler,iowa
2020-01-31,0,0,butler,kansas
2020-01-31,0,0,butler,kentucky
2020-01-31,0,0,butler,missouri
2020-01-31,0,0,butler,nebraska
2020-01-31,0,0,butler,ohio
2020-01-31,0,0,butler,pennsylvania
2020-01-31,0,0,butte,california
2020-01-31,0,0,butte,idaho
2020-01-31,0,0,butte,south dakota
2020-01-31,0,0,butts,georgia
2020-01-31,0,0,cabarrus,north carolina
2020-01-31,0,0,cabell,west virginia
2020-01-31,0,0,cabo rojo,puerto rico
2020-01-31,0,0,cache,utah
2020-01-31,0,0,caddo,louisiana
2020-01-31,0,0,caddo,oklahoma
2020-01-31,0,0,caguas,puerto rico
2020-01-31,0,0,calaveras,california
2020-01-31,0,0,calcasieu,louisiana
2020-01-31,0,0,caldwell,kentucky
2020-01-31,0,0,caldwell,louisiana
2020-01-31,0,0,caldwell,missouri
2020-01-31,0,0,caldwell,north carolina
2020-01-31,0,0,caldwell,texas
2020-01-31,0,0,caledonia,vermont
2020-01-31,0,0,calhoun,alabama
2020-01-31,0,0,calhoun,arkansas
2020-01-31,0,0,calhoun,florida
2020-01-31,0,0,calhoun,georgia
2020-01-31,0,0,calhoun,illinois
2020-01-31,0,0,calhoun,iowa
