RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,6544.0,7552.0,9234.0,8134.0,9958.0,9132.0,9034.0,9261.0,7421.0,7695.0,6800.0,5207.0,6169.0,7133.0,8918.0,9340.0,10106.0,9195.0,9722.0,9617.0,8385.0,8696.0,7290.0,5754.0,6612.0,7663.0,7038.0,4224.0,6744.0,9104.0,9851.0,9848.0,9759.0,10784.0,8088.0,7391.0,"",""
394463,3,"Chicago, IL",Msa,IL,14042.0,16560.0,23800.0,23581.0,25031.0,22914.0,21721.0,20439.0,16472.0,16871.0,13552.0,10448.0,13835.0,16346.0,23167.0,25540.0,25158.0,23206.0,21738.0,19939.0,17848.0,17103.0,13978.0,11261.0,15584.0,19650.0,21198.0,14200.0,22123.0,29081.0,28995.0,28202.0,24479.0,22555.0,17827.0,14704.0,"",""
394514,4,"Dallas-Fort Worth, TX",Msa,TX,5959.0,6284.0,7415.0,8021.0,8808.0,8389.0,8603.0,8002.0,7029.0,6537.0,5948.0,5110.0,5527.0,6592.0,7989.0,8839.0,8822.0,8635.0,8919.0,8143.0,7394.0,7069.0,6451.0,5798.0,6203.0,7473.0,8439.0,5972.0,9114.0,10765.0,10723.0,10354.0,9444.0,8779.0,7943.0,7132.0,7151.0,7265.0
394692,6,"Houston, TX",Msa,TX,5978.0,6625.0,7997.0,8221.0,9088.0,8678.0,8567.0,8209.0,6239.0,6745.0,5867.0,4733.0,6261.0,7048.0,8209.0,9175.0,9120.0,8862.0,8871.0,8143.0,6976.0,6999.0,6245.0,5179.0,6649.0,7715.0,7727.0,6165.0,9563.0,10837.0,10336.0,9852.0,9009.0,8994.0,7798.0,6967.0,8007.0,7269.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,10801.0,10923.0,12715.0,11944.0,12624.0,11235.0,10826.0,10977.0,9574.0,10333.0,8614.0,7288.0,9932.0,12175.0,14619.0,14943.0,13981.0,12896.0,13127.0,12306.0,11221.0,12462.0,10587.0,9246.0,12254.0,14253.0,12179.0,6311.0,11127.0,14898.0,15106.0,14748.0,15095.0,14773.0,12301.0,12709.0,"",""
394347,9,"Atlanta, GA",Msa,GA,7943.0,8494.0,10443.0,10400.0,11117.0,10547.0,10583.0,10397.0,8377.0,8988.0,7143.0,5777.0,8256.0,8888.0,11224.0,11822.0,12044.0,11289.0,11026.0,10318.0,9486.0,9619.0,8220.0,6736.0,9144.0,9377.0,10181.0,7898.0,11034.0,12322.0,12165.0,12283.0,10942.0,10476.0,9349.0,8306.0,"",""
394404,10,"Boston, MA",Msa,MA,2261.0,2747.0,3915.0,4408.0,5803.0,5560.0,4394.0,3849.0,3546.0,3914.0,2811.0,1934.0,2547.0,2710.0,3987.0,5064.0,5345.0,5093.0,4171.0,3755.0,3965.0,4073.0,3130.0,1922.0,2403.0,3144.0,3705.0,2122.0,3602.0,5043.0,4521.0,4340.0,4272.0,5020.0,3423.0,2415.0,"",""
395025,13,"Riverside, CA",Msa,CA,4137.0,4562.0,5480.0,4785.0,5782.0,5239.0,5223.0,5319.0,4736.0,4451.0,3923.0,3147.0,4107.0,4272.0,5441.0,5721.0,6369.0,5996.0,6086.0,6055.0,5315.0,5574.0,4630.0,3915.0,5033.0,5779.0,5116.0,3657.0,5715.0,6855.0,6740.0,6390.0,6091.0,6628.0,5213.0,4756.0,4806.0,4945.0
394976,14,"Phoenix, AZ",Msa,AZ,"","","","","","","","","","",3711.0,3374.0,4620.0,5313.0,6139.0,6795.0,6649.0,5893.0,5931.0,5698.0,5176.0,5309.0,4737.0,4109.0,5386.0,5897.0,5613.0,4534.0,5854.0,6531.0,6124.0,6155.0,6569.0,6697.0,5863.0,5417.0,5719.0,5997.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,1298.0,1536.0,2008.0,1919.0,2663.0,2534.0,2516.0,2476.0,2155.0,2223.0,1813.0,1306.0,1446.0,1968.0,2455.0,3215.0,3742.0,3761.0,3645.0,3577.0,3087.0,3061.0,2418.0,1980.0,1957.0,2440.0,3308.0,2794.0,3328.0,4129.0,4139.0,4400.0,4116.0,3842.0,2857.0,2266.0,2229.0,2688.0
395056,17,"San Diego, CA",Msa,CA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3857.0,4146.0,4064.0,3791.0,3822.0,3187.0,2704.0,2944.0,3033.0
395121,18,"St. Louis, MO",Msa,MO,2744.0,3029.0,4035.0,4190.0,4456.0,4215.0,4226.0,4083.0,3262.0,3481.0,2851.0,2284.0,3052.0,3051.0,4196.0,4527.0,4474.0,4351.0,4271.0,3888.0,3598.0,3491.0,2901.0,2340.0,2995.0,3301.0,3908.0,3257.0,4427.0,4803.0,4750.0,4794.0,4444.0,4474.0,3585.0,2972.0,"",""
394358,20,"Baltimore, MD",Msa,MD,"","","","","","","",3718.0,2601.0,2913.0,2384.0,1867.0,2308.0,2494.0,3393.0,3850.0,3791.0,3485.0,3419.0,3173.0,3016.0,3066.0,2565.0,2003.0,2523.0,2910.0,3378.0,2488.0,3478.0,3911.0,3820.0,3426.0,4226.0,4286.0,3339.0,2797.0,3211.0,2992.0
394530,21,"Denver, CO",Msa,CO,3659.0,3905.0,4666.0,5096.0,5531.0,5645.0,5433.0,5127.0,4191.0,4390.0,3690.0,2948.0,3774.0,4207.0,5185.0,5922.0,6346.0,5881.0,5493.0,5400.0,4925.0,4713.0,3958.0,2943.0,3771.0,4003.0,4726.0,2886.0,6152.0,6792.0,6283.0,6583.0,5838.0,5425.0,4234.0,3107.0,"",""
