,date,cases,deaths,county,state,county_fips,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
0,2020-01-31,0,0,acadia,louisiana,22001,145500.0,0.0055,0.1086,127,-0.0078,-0.2256,94.5,0.06779661,-0.125,28,1.3333,-0.4615,0,,,24,0.5,0.2,33,-0.0571,-0.0571,80.99358974,-0.0191,0.0168,1722.0,0.0253,0.0399,186789.8603,0.0118,0.3,160,-0.0184,-0.196,0.25984252,-0.0136,0.0464
1,2020-01-31,0,0,ada,idaho,16001,413420.0,0.021,0.0959,1282,-0.1419,-0.1803,60.5,0.080357143,0.080357143,616,0.1938,-0.1585,56,0.0769,-0.0667,244,-0.3646,-0.5793,40,0.0256,0.6667,190.834678,0.0185,0.0926,2317.0,0.0125,0.0268,516557.6337,0.0358,0.0961,1322,-0.1376,-0.1675,0.031201248,0.0051,0.0159
2,2020-01-31,0,0,adams,colorado,8001,450000.0,0.0779,0.0588,504,-0.3793,-0.4419,48.0,0.032258065,-0.067961165,404,0.1477,-0.4628,48,0.3333,0.0909,164,-0.1633,-0.5543,674,-0.2108,-0.1292,185.9445475,0.0712,0.1402,2259.5,-0.0656,-0.1725,486766.6235,0.086,0.0552,1178,-0.2929,-0.2976,1.337301587,0.2856,0.4802
3,2020-01-31,0,0,adams,illinois,17001,139900.0,-0.0264,0.0919,230,-0.2308,-0.1481,89.5,0.11875,-0.052910053,48,0.2,-0.0769,0,,,44,0.1,-0.1538,63,20.0,14.75,85.73309382,-0.0471,0.0031,1665.0,0.0091,0.0649,171636.9751,-0.0287,0.072,293,-0.0298,0.0693,0.273913043,0.2639,0.2591
4,2020-01-31,0,0,adams,pennsylvania,42001,261523.0,0.0078,0.1398,271,-0.0906,-0.0814,101.5,-0.033333333,0.0,84,0.75,-0.16,8,,1.0,48,0.7143,-0.2941,19,-0.0952,0.1875,133.7388894,0.0558,0.1164,1943.0,-0.012,0.0026,313820.6188,0.0184,0.1558,290,-0.0909,-0.0675,0.070110701,-0.0004,0.0159
5,2020-01-31,0,0,aiken,south carolina,45003,239646.0,0.0263,0.0422,881,-0.0361,-0.1363,96.0,0.090909091,-0.179487179,224,0.2444,-0.125,28,-0.125,0.4,132,0.1786,-0.2143,249,-0.0119,248.0,108.6858361,0.02,0.0452,2272.0,0.0069,0.0316,334896.6965,0.0252,0.0762,1130,-0.0309,0.1068,0.282633371,0.0069,0.2817
6,2020-01-31,0,0,alachua,florida,12001,279590.0,0.0167,0.1186,814,-0.076,-0.1423,88.5,0.06626506,-0.032786885,292,0.46,-0.1889,20,0.25,-0.5,168,0.4483,-0.2364,495,0.0487,48.5,141.8991285,0.0042,0.0605,1903.5,0.009,0.0427,334620.5611,0.0358,0.0695,1309,-0.0325,0.365,0.608108108,0.0724,0.5976
7,2020-01-31,0,0,alamance,north carolina,37001,249175.0,0.0454,0.017,566,-0.0706,-0.2483,76.5,0.275,-0.172972973,228,0.1875,-0.1493,12,2.0,-0.5714,168,0.0769,0.3548,170,-0.1414,1.0482,103.0199773,0.0001,-0.1026,1605.5,0.0615,-0.2178,290570.3698,0.0269,0.0686,736,-0.088,-0.1196,0.300353357,-0.0248,0.1901
8,2020-01-31,0,0,alameda,california,6001,807000.0,0.01,0.0215,764,-0.1767,-0.3863,45.0,-0.134615385,0.034482759,744,0.9375,-0.4019,28,0.4,0.0,108,-0.1,-0.5179,812,-0.2571,-0.0025,523.6656093,-0.0033,-0.0103,1538.5,0.0128,0.0466,1318451.035,0.1252,0.3837,1576,-0.2202,-0.2346,1.062827225,-0.115,0.409
9,2020-01-31,0,0,albany,new york,36001,269950.0,0.0007,-0.0357,754,-0.1098,-0.1432,108.5,0.068965517,0.142105263,240,0.7647,-0.1892,4,,-0.5,148,0.1935,-0.119,532,-0.1177,0.1902,150.1967262,-0.0013,-0.0224,1786.0,-0.002,-0.0042,334047.1632,0.021,0.024,1286,-0.1131,-0.0309,0.705570292,-0.0064,0.1976
10,2020-01-31,0,0,albemarle,virginia,51003,527450.0,0.0551,0.0144,418,-0.1125,-0.0586,126.5,0.13963964,-0.034351145,100,0.3889,-0.2188,24,5.0,1.0,48,0.2,0.3333,267,-0.0074,-0.0396,195.01489,0.0442,0.0295,2661.0,0.0104,-0.0054,728092.4901,0.0403,-0.0773,685,-0.0743,-0.0512,0.638755981,0.0676,0.0126
11,2020-01-31,0,0,allegan,michigan,26005,264907.0,-0.0185,-0.0095,285,-0.1467,0.1633,95.0,0.130952381,0.061452514,64,0.1429,-0.2,0,,,56,0.1667,0.4,2,0.0,-0.3333,141.6881733,-0.025,-0.035,1852.0,-0.0011,0.0054,401934.9128,-0.0008,-0.0031,287,-0.1458,0.1573,0.007017544,0.001,-0.0052
